"SYMBOL"	"X.6."	"X.7."	"X.8."	"X.9."	"X.10."	"X.11."	"X.12."	"X.13."	"X.14."	"X.15."
"152"	"PCDHB12"	"0.498883333333333"	"0.225616666666667"	"0.282916666666667"	"0.252683333333333"	"0.2442"	"0.407083333333333"	"0.436666666666667"	"0.3952"	"0.473766666666667"	"0.438416666666667"
"158"	"PCDHB13"	"0.519525"	"0.121825"	"0.236775"	"0.226575"	"0.211025"	"0.4055"	"0.448925"	"0.417125"	"0.459025"	"0.4448"
"162"	"PCDHB14"	"0.4563875"	"0.1097125"	"0.2194875"	"0.193825"	"0.2294625"	"0.30785"	"0.3450625"	"0.3086875"	"0.3556875"	"0.350525"
"170"	"PCDHB15"	"0.364626666666667"	"0.10304"	"0.22876"	"0.212766666666667"	"0.213466666666667"	"0.282686666666667"	"0.291346666666667"	"0.291913333333333"	"0.309406666666667"	"0.307613333333333"
"185"	"PCDHB16"	"0.442485714285714"	"0.133857142857143"	"0.212342857142857"	"0.227892857142857"	"0.17415"	"0.289935714285714"	"0.326257142857143"	"0.319992857142857"	"0.354142857142857"	"0.334078571428571"
"199"	"PCDHB17P"	"0.57506"	"0.1498"	"0.26675"	"0.19578"	"0.1866"	"0.43087"	"0.49135"	"0.44276"	"0.4949"	"0.47897"
"209"	"PCDHB18P"	"0.416413333333333"	"0.0894933333333333"	"0.180806666666667"	"0.170486666666667"	"0.135373333333333"	"0.32074"	"0.349106666666667"	"0.313133333333333"	"0.347646666666667"	"0.35434"
"224"	"PCDHB19P"	"0.439533333333333"	"0.104911111111111"	"0.194644444444444"	"0.201877777777778"	"0.193966666666667"	"0.316133333333333"	"0.3446"	"0.326655555555556"	"0.367311111111111"	"0.368344444444444"
"233"	"PCDHB2"	"0.463771428571429"	"0.106892857142857"	"0.242671428571429"	"0.24085"	"0.1775"	"0.347357142857143"	"0.40315"	"0.378385714285714"	"0.3974"	"0.405014285714286"
"247"	"PCDHB3"	"0.55545"	"0.147771428571429"	"0.333192857142857"	"0.309421428571429"	"0.276028571428571"	"0.375864285714286"	"0.432707142857143"	"0.4081"	"0.44335"	"0.439378571428571"
"261"	"PCDHB4"	"0.530635714285714"	"0.185821428571429"	"0.338121428571429"	"0.301907142857143"	"0.271457142857143"	"0.415192857142857"	"0.451828571428571"	"0.412764285714286"	"0.460564285714286"	"0.462614285714286"
"275"	"PCDHB5"	"0.520384615384615"	"0.212892307692308"	"0.362992307692308"	"0.340761538461538"	"0.316684615384615"	"0.426007692307692"	"0.463346153846154"	"0.444592307692308"	"0.476353846153846"	"0.467646153846154"
"288"	"PCDHB6"	"0.51045"	"0.100058333333333"	"0.26445"	"0.242825"	"0.206325"	"0.366075"	"0.425508333333333"	"0.381533333333333"	"0.427625"	"0.422258333333333"
"300"	"PCDHB7"	"0.491381818181818"	"0.141054545454545"	"0.284581818181818"	"0.277536363636364"	"0.265345454545455"	"0.371009090909091"	"0.405718181818182"	"0.368009090909091"	"0.441336363636364"	"0.412972727272727"
"311"	"PCDHB8"	"0.5042"	"0.0964"	"0.264633333333333"	"0.2616"	"0.185866666666667"	"0.4412"	"0.454533333333333"	"0.447566666666667"	"0.4632"	"0.461533333333333"
"314"	"PCDHGA1"	"0.355571698113208"	"0.112267924528302"	"0.21998679245283"	"0.197283018867925"	"0.208218867924528"	"0.225590566037736"	"0.234632075471698"	"0.246956603773585"	"0.250641509433962"	"0.257875471698113"
"323"	"PCDHGA10"	"0.302916666666667"	"0.0793166666666667"	"0.140266666666667"	"0.135225"	"0.135858333333333"	"0.177716666666667"	"0.183858333333333"	"0.193391666666667"	"0.189241666666667"	"0.203533333333333"
"335"	"PCDHGA11"	"0.323564285714286"	"0.129764285714286"	"0.218435714285714"	"0.166921428571429"	"0.185628571428571"	"0.204564285714286"	"0.208192857142857"	"0.2121"	"0.217278571428571"	"0.228107142857143"
"349"	"PCDHGA12"	"0.36025"	"0.0824611111111111"	"0.204527777777778"	"0.191316666666667"	"0.223711111111111"	"0.190322222222222"	"0.201633333333333"	"0.232883333333333"	"0.230466666666667"	"0.237072222222222"
"367"	"PCDHGA2"	"0.430215384615385"	"0.136384615384615"	"0.322938461538462"	"0.270507692307692"	"0.266115384615385"	"0.329907692307692"	"0.342515384615385"	"0.335453846153846"	"0.389923076923077"	"0.380146153846154"
"380"	"PCDHGA3"	"0.504321428571429"	"0.123464285714286"	"0.327464285714286"	"0.29265"	"0.273285714285714"	"0.373721428571429"	"0.405807142857143"	"0.392835714285714"	"0.433428571428571"	"0.42215"
"394"	"PCDHGA4"	"0.459692307692308"	"0.170392307692308"	"0.375738461538461"	"0.348353846153846"	"0.337230769230769"	"0.366130769230769"	"0.394923076923077"	"0.370338461538462"	"0.397776923076923"	"0.414153846153846"
"407"	"PCDHGA5"	"0.480785714285714"	"0.174642857142857"	"0.332171428571429"	"0.352828571428571"	"0.324771428571429"	"0.33785"	"0.363821428571429"	"0.357"	"0.37905"	"0.380442857142857"
"421"	"PCDHGA6"	"0.478190909090909"	"0.144090909090909"	"0.324709090909091"	"0.315045454545455"	"0.315972727272727"	"0.358481818181818"	"0.387054545454545"	"0.377263636363636"	"0.3857"	"0.394736363636364"
"432"	"PCDHGA7"	"0.45418"	"0.08187"	"0.31436"	"0.30519"	"0.26222"	"0.31951"	"0.34444"	"0.33662"	"0.35626"	"0.36635"
"442"	"PCDHGA8"	"0.42617"	"0.10191"	"0.25454"	"0.23956"	"0.34075"	"0.30209"	"0.31941"	"0.32376"	"0.32857"	"0.35763"
"452"	"PCDHGA9"	"0.523116666666667"	"0.166333333333333"	"0.434666666666667"	"0.4365"	"0.3938"	"0.43235"	"0.4431"	"0.40085"	"0.424916666666667"	"0.4688"
"458"	"PCDHGB1"	"0.395791666666667"	"0.147525"	"0.297133333333333"	"0.282458333333333"	"0.253925"	"0.285983333333333"	"0.309908333333333"	"0.308775"	"0.332258333333333"	"0.333875"
"470"	"PCDHGB2"	"0.38361"	"0.10718"	"0.30687"	"0.32616"	"0.26802"	"0.27625"	"0.29187"	"0.28956"	"0.30688"	"0.3183"
"480"	"PCDHGB3"	"0.3540125"	"0.1046375"	"0.1922375"	"0.1979375"	"0.2393875"	"0.2314375"	"0.2435125"	"0.2333125"	"0.2551375"	"0.2622625"
"488"	"PCDHGB4"	"0.43982"	"0.08308"	"0.34166"	"0.30674"	"0.28254"	"0.3277"	"0.34028"	"0.3242"	"0.37478"	"0.38066"
"493"	"PCDHGB5"	"0.5073"	"0.11265"	"0.351675"	"0.34305"	"0.2895625"	"0.3390625"	"0.388375"	"0.3907"	"0.3938875"	"0.406925"
"501"	"PCDHGB6"	"0.394225"	"0.1503875"	"0.2981"	"0.3153875"	"0.295525"	"0.287025"	"0.2978"	"0.3082375"	"0.3153"	"0.3263625"
"509"	"PCDHGB7"	"0.48992"	"0.16748"	"0.37082"	"0.36067"	"0.3208"	"0.32964"	"0.33967"	"0.33957"	"0.36315"	"0.37153"
"519"	"PCDHGB8P"	"0.6534"	"0.202542857142857"	"0.550342857142857"	"0.533571428571429"	"0.5727"	"0.500471428571429"	"0.525671428571429"	"0.520142857142857"	"0.521585714285714"	"0.582228571428571"
"526"	"PCDHGC3"	"0.395373684210526"	"0.227263157894737"	"0.3302"	"0.332547368421053"	"0.267421052631579"	"0.296915789473684"	"0.303357894736842"	"0.29688947368421"	"0.305373684210526"	"0.326268421052632"
"545"	"PCDHGC4"	"0.18406"	"0.09272"	"0.16196"	"0.14973"	"0.14158"	"0.16267"	"0.16007"	"0.15215"	"0.14808"	"0.17998"
"555"	"PCDHGC5"	"0.682328571428571"	"0.576785714285714"	"0.560314285714286"	"0.584428571428571"	"0.5576"	"0.622"	"0.627414285714286"	"0.629271428571428"	"0.643371428571429"	"0.647257142857143"
